0	12	  6501	1683021735	1683024021	1683024022	
1	sourcetype::scheduler	  8	1683023379	1683024021	1683024021	
2	sourcetype::splunkd	  4960	1683021735	1683024021	1683024022	
3	sourcetype::splunkd_stderr	  2	1683023367	1683024016	1683024016	
4	sourcetype::secure_gateway_app_internal_log	 26	1683023369	1683023980	1683023980	
5	sourcetype::mongod	240	1683021735	1683024021	1683024021	
6	sourcetype::splunkd_conf	  1	1683023375	1683023375	1683023380	
7	sourcetype::splunkd_access	535	1683023380	1683024009	1683024012	
8	sourcetype::splunk_python	238	1683023381	1683024016	1683024019	
9	sourcetype::splunk_web_service	257	1683023381	1683024016	1683024019	
10	sourcetype::splunk_web_access	 23	1683023382	1683023407	1683023409	
11	sourcetype::splunkd_ui_access	115	1683023382	1683024007	1683024010	
12	sourcetype::splunk_assist_internal_log	 96	1683023424	1683024009	1683024009	
